ageb,residentes,permanecen_en_ageb,proporcion,CVE_AGEB,POBTOT
496,11,0,0,8584,11
497,1,0,0,8599,78
498,3,0,0,8601,88
499,26,0,0,8616,11
500,61,0,0,8620,10
501,45,0,0,8635,2041
502,29,0,0,8654,1156
503,18,0,0,8669,14
504,32,0,0,8673,87
505,31,0,0,8688,8
506,12,0,0,8692,283
507,0,0,NaN,8705,490
508,0,0,NaN,8724,2
509,1,0,0,8739,904
510,77,0,0,8743,1
511,2,0,0,8758,275
512,45,0,0,8832,10
513,0,0,NaN,8847,5
514,1,0,0,8851,104
515,17,0,0,8866,1170
516,1,0,0,8870,3548
517,0,0,NaN,8885,1747
518,19,0,0,8902,207
519,21,0,0,8917,721
520,20,0,0,8921,222
521,4,0,0,8936,106
522,4,0,0,8940,25
523,0,0,NaN,8955,4065
524,10,0,0,8989,25
525,0,0,NaN,8993,2973
526,0,0,NaN,017A,60
527,6,0,0,024A,2
528,1,0,0,031A,0
529,2,0,0,049A,1393
530,13,0,0,056A,1971
531,9,0,0,063A,1706
532,5,0,0,070A,842
533,1,0,0,095A,796
534,4,0,0,106A,0
535,7,0,0,113A,11
536,10,0,0,120A,1703
537,1,0,0,138A,2
538,3,0,0,145A,1401
539,51,0,0,177A,2032
540,1,0,0,184A,2536
541,2,0,0,191A,1663
542,27,0,0,202A,3065
543,7,0,0,234A,2825
544,9,0,0,273A,1341
545,63,0,0,280A,3180
546,56,0,0,298A,1322
547,0,0,NaN,323A,2676
548,0,0,NaN,330A,2318
549,0,0,NaN,483A,4005
550,0,0,NaN,490A,3127
551,0,0,NaN,519A,1960
552,4,0,0,526A,1665
553,24,0,0,533A,1994
554,8,0,0,540A,2859
555,21,0,0,558A,2232
556,0,0,NaN,565A,2856
557,0,0,NaN,572A,2435
558,5,0,0,597A,3227
559,1,0,0,608A,644
560,13,0,0,615A,2964
561,16,0,0,622A,7394
562,0,0,NaN,647A,74
563,6,0,0,679A,0
564,7,0,0,686A,0
565,2,0,0,693A,2199
566,0,0,NaN,704A,1267
567,0,0,NaN,711A,216
568,3,0,0,729A,289
569,4,0,0,736A,1
570,57,0,0,743A,142
571,18,0,0,750A,5444
572,6,0,0,768A,139
573,2,0,0,782A,122
574,4,0,0,800A,221
575,3,0,0,825A,1760
576,16,0,0,832A,9
577,0,0,NaN,857A,24
578,30,0,0,864A,424
579,2,0,0,871A,4
580,4,0,0,889A,2080
581,18,0,0,896A,305
